K,BIC,AIC,logLik,coding
1,18252.541869146167,18211.199395671636,-9097.599697835818,active_only
2,17596.015329875587,17358.29610739703,-8633.148053698515,active_only
3,17241.63882691465,16704.186671745738,-8248.093335872869,active_only
4,17461.787652309493,16521.2463807639,-8078.62319038195,active_only
5,17834.67303661156,16387.686465002953,-7913.843232501477,active_only
1,23573.012979561187,23531.670506086655,-11757.835253043328,any_member
2,22557.2660633632,22319.546840884643,-11113.77342044232,any_member
3,21925.31799517608,21387.86584000717,-10589.932920003585,any_member
4,22108.432198999344,21167.89092745375,-10401.945463726875,any_member
5,22423.255893535243,20976.269321926637,-10208.134660963318,any_member
