sensitivity,outcome,contrast,estimate,std.error,p.value,sig
S1_CRE,trust,β vs γ,-0.08143042799534632,0.02303681246654154,4.080903886218758e-4,***
S1_CRE,trust,α vs γ,-0.05484393846379848,0.022808154796140637,0.016191245300003838,*
S1_CRE,trust_nh,β vs γ,-0.05546407687885086,0.03223964397624576,0.0853654287815535,.
S1_CRE,trust_nh,α vs γ,-0.08100599602307881,0.029942536275355983,0.006822590084759393,**
S3_CrossLag,trust,β vs γ,-0.07609255600809996,0.021707879406493102,4.5609884871290903e-4,***
S3_CrossLag,trust,α vs γ,-0.049694947708768936,0.021088977639266326,0.018450960382448478,*
S3_CrossLag,trust_nh,β vs γ,-0.058585699244801975,0.03258139315063871,0.07215583156893504,.
S3_CrossLag,trust_nh,α vs γ,-0.07476981587901405,0.030682260984260024,0.014813489551151275,*
S4_EntropyWtd,trust,β vs γ,-0.09527256834161545,0.02422540745590347,8.397816401032567e-5,***
S4_EntropyWtd,trust,α vs γ,-0.06165440479023915,0.024318525016970103,0.011235570181515756,*
S4_EntropyWtd,trust_nh,β vs γ,-0.04484106337131222,0.03506377352341666,0.20095232766472987,
S4_EntropyWtd,trust_nh,α vs γ,-0.09862412660987213,0.03274846661064454,0.0025990499312640563,**
S5_Soft,trust,p_beta,-0.04518143867514165,0.01229590569798949,2.383055349506588e-4,***
S5_Soft,trust,p_gamma,0.029978250169178797,0.013897158061405054,0.03099400318154063,*
S5_Soft,trust_nh,p_beta,0.07777336722898245,0.029183418905294852,0.007699180708974804,**
S5_Soft,trust_nh,p_gamma,0.11902956284256452,0.03840609934862343,0.001940204532119107,**
