idencuesta,ola,social_trust,trust_nb,clase,m0_sexo,m0_edad,age10,swb,employed,couple,t02_01
1101011,1,1,0,1,2,64,1.4059624775122075,0,0,1,2
1101012,1,0,0,1,2,60,1.0059624775122074,0,0,1,2
1101023,1,0,0,3,1,62,1.2059624775122075,0,1,0,3
1101032,1,1,0,3,2,54,0.40596247751220743,0,1,1,4
1101081,1,0,1,2,1,69,1.9059624775122075,0,0,0,4
1101103,1,0,1,3,1,35,-1.4940375224877926,0,1,0,4
1101113,1,0,0,3,1,34,-1.5940375224877925,0,1,0,2
1101133,1,0,0,3,2,62,1.2059624775122075,0,0,0,3
1101151,1,0,0,2,1,22,-2.7940375224877925,0,0,0,4
1101152,1,0,0,3,2,29,-2.0940375224877927,0,1,1,4
1101153,1,0,0,2,2,53,0.30596247751220745,0,1,0,3
1101171,1,0,1,3,1,57,0.7059624775122074,0,1,1,4
1101173,1,0,0,3,2,25,-2.4940375224877926,0,0,1,3
1107011,1,0,0,2,2,53,0.30596247751220745,1,1,1,3
1107012,1,0,0,2,1,55,0.5059624775122075,0,0,1,4
1107021,1,0,0,3,1,25,-2.4940375224877926,0,0,0,2
2101033,1,0,0,3,1,56,0.6059624775122074,0,1,1,1
2101043,1,0,0,3,2,36,-1.3940375224877926,0,1,1,3
2101062,1,0,0,3,1,37,-1.2940375224877925,0,1,1,3
2101071,1,0,0,3,2,64,1.4059624775122075,0,0,0,5
2101072,1,0,1,3,1,22,-2.7940375224877925,0,1,0,4
2101082,1,0,0,1,1,48,-0.19403752248779255,1,1,1,4
2101083,1,0,0,3,1,28,-2.1940375224877924,0,1,1,4
2101092,1,0,0,3,1,52,0.20596247751220745,1,1,1,4
2101102,1,0,1,1,2,63,1.3059624775122074,0,1,1,2
2101113,1,0,0,3,2,29,-2.0940375224877927,0,0,1,2
2101141,1,0,0,2,2,41,-0.8940375224877926,0,1,0,5
2101142,1,0,0,3,2,50,0.005962477512207442,1,1,1,4
2101143,1,1,1,3,2,32,-1.7940375224877925,0,1,0,5
2101151,1,0,0,3,2,36,-1.3940375224877926,0,1,1,4
2101152,1,0,0,3,2,39,-1.0940375224877925,1,1,1,4
2101162,1,0,1,3,2,68,1.8059624775122074,0,0,0,4
2101172,1,0,0,1,1,31,-1.8940375224877926,0,1,1,5
2101173,1,0,1,3,1,26,-2.3940375224877926,0,1,1,2
2101191,1,0,0,1,2,54,0.40596247751220743,0,0,0,3
2101192,1,0,1,3,1,36,-1.3940375224877926,1,0,0,4
2101193,1,0,0,3,1,25,-2.4940375224877926,0,0,0,3
2101202,1,0,1,1,2,26,-2.3940375224877926,1,1,1,4
2101211,1,0,0,3,1,26,-2.3940375224877926,0,1,1,3
2101212,1,0,1,3,1,39,-1.0940375224877925,0,1,1,2
2101222,1,0,0,3,1,23,-2.6940375224877924,0,1,0,4
2101231,1,0,1,3,2,27,-2.2940375224877925,0,1,1,5
2101232,1,1,0,3,1,33,-1.6940375224877926,0,1,0,3
2101243,1,0,0,2,1,70,2.0059624775122074,1,1,1,4
2101251,1,0,0,1,2,44,-0.5940375224877925,0,0,0,5
2101255,1,0,0,3,1,54,0.40596247751220743,0,1,0,4
2101263,1,0,0,3,2,53,0.30596247751220745,0,1,1,3
3101023,1,0,1,1,2,41,-0.8940375224877926,1,1,0,5
3101033,1,0,1,3,2,19,-3.0940375224877927,0,0,0,5
3101041,1,0,0,3,2,56,0.6059624775122074,0,1,0,3
3101043,1,0,0,3,2,18,-3.1940375224877924,0,1,0,4
3101061,1,0,0,3,2,49,-0.09403752248779255,0,1,0,4
3101062,1,0,0,3,2,51,0.10596247751220744,0,0,1,1
3101093,1,0,0,3,1,29,-2.0940375224877927,0,1,1,3
3101102,1,1,0,3,2,52,0.20596247751220745,1,1,0,4
3101111,1,0,1,3,1,45,-0.49403752248779254,0,1,0,4
3101131,1,0,0,3,1,61,1.1059624775122074,0,0,1,3
3101132,1,0,0,3,2,49,-0.09403752248779255,0,1,1,3
3101143,1,0,0,1,2,43,-0.6940375224877926,0,0,0,3
3101152,1,0,1,1,2,45,-0.49403752248779254,1,1,0,4
3101153,1,0,1,1,2,48,-0.19403752248779255,0,1,1,2
3101171,1,0,0,3,2,47,-0.2940375224877926,1,0,0,2
3101183,1,0,1,3,1,23,-2.6940375224877924,0,1,1,3
3101191,1,0,0,3,2,24,-2.5940375224877927,0,0,0,2
3101192,1,0,0,1,2,50,0.005962477512207442,0,0,0,1
3101202,1,0,1,1,1,69,1.9059624775122075,0,1,0,4
3101203,1,0,0,3,2,49,-0.09403752248779255,0,1,0,4
3101211,1,0,0,3,2,25,-2.4940375224877926,0,1,0,1
3101222,1,1,1,2,1,25,-2.4940375224877926,0,0,0,3
3101231,1,0,0,2,2,34,-1.5940375224877925,0,0,1,5
3101232,1,0,0,1,2,31,-1.8940375224877926,0,1,1,1
3101233,1,0,1,3,1,59,0.9059624775122075,0,1,1,5
3101243,1,0,1,1,2,59,0.9059624775122075,0,0,0,4
3301011,1,0,0,1,1,42,-0.7940375224877926,0,1,1,4
3301021,1,0,0,3,1,28,-2.1940375224877924,0,0,1,4
3301031,1,0,0,3,2,52,0.20596247751220745,0,0,0,4
3301041,1,0,0,1,2,54,0.40596247751220743,0,1,0,4
3301043,1,0,1,1,2,55,0.5059624775122075,0,0,0,4
3301051,1,0,0,1,2,39,-1.0940375224877925,0,0,1,4
3301062,1,0,0,1,2,44,-0.5940375224877925,1,0,1,4
3301073,1,1,0,1,2,59,0.9059624775122075,0,1,0,4
3301093,1,0,0,3,2,57,0.7059624775122074,0,1,0,4
3301103,1,0,1,3,2,46,-0.39403752248779256,0,1,1,3
3301111,1,0,1,3,2,43,-0.6940375224877926,0,1,0,5
3301122,1,0,1,3,1,53,0.30596247751220745,1,1,0,4
3301143,1,0,1,1,2,50,0.005962477512207442,0,0,0,5
3301173,1,0,1,3,2,54,0.40596247751220743,0,1,0,5
3301191,1,0,0,3,2,54,0.40596247751220743,0,0,0,4
3301202,1,0,1,3,1,54,0.40596247751220743,0,1,1,3
3301212,1,0,0,1,2,27,-2.2940375224877925,0,0,0,3
3301221,1,0,0,3,2,46,-0.39403752248779256,0,0,1,4
3301232,1,0,0,1,2,62,1.2059624775122075,0,0,1,4
3301233,1,0,0,3,1,44,-0.5940375224877925,0,1,1,4
3301241,1,0,1,1,2,51,0.10596247751220744,0,1,1,4
3301252,1,0,1,1,2,60,1.0059624775122074,1,0,1,4
3301253,1,0,0,2,1,52,0.20596247751220745,0,1,1,4
4101021,1,0,1,3,2,40,-0.9940375224877925,0,1,0,4
4101032,1,0,0,3,1,68,1.8059624775122074,0,1,1,4
4101034,1,0,0,1,2,60,1.0059624775122074,0,0,1,4
4101042,1,0,0,3,2,43,-0.6940375224877926,0,1,0,2
4101044,1,0,0,3,2,44,-0.5940375224877925,1,1,1,3
4101053,1,0,1,3,2,27,-2.2940375224877925,0,1,0,5
4101055,1,0,0,3,2,35,-1.4940375224877926,0,1,0,4
4101057,1,0,0,1,2,66,1.6059624775122074,0,0,0,4
4101065,1,0,1,3,2,42,-0.7940375224877926,1,1,0,3
4101111,1,0,0,1,1,55,0.5059624775122075,0,1,1,2
4101113,1,0,0,3,1,67,1.7059624775122075,0,1,0,4
4101134,1,0,0,1,2,29,-2.0940375224877927,0,0,0,3
4101141,1,0,0,3,2,42,-0.7940375224877926,0,1,1,3
4102051,1,0,1,3,2,61,1.1059624775122074,1,1,1,4
4102052,1,0,1,1,2,55,0.5059624775122075,0,0,1,4
4102055,1,0,0,3,2,41,-0.8940375224877926,0,1,0,4
4102082,1,0,0,3,1,39,-1.0940375224877925,0,1,0,4
4102083,1,0,1,1,2,67,1.7059624775122075,0,0,1,4
4102091,1,0,1,3,1,22,-2.7940375224877925,0,0,0,4
4102102,1,0,1,2,1,33,-1.6940375224877926,1,1,1,2
4102121,1,0,1,2,1,50,0.005962477512207442,0,1,1,4
4106011,1,0,1,1,2,63,1.3059624775122074,0,0,0,4
4106022,1,1,0,3,2,65,1.5059624775122074,1,0,1,2
4106023,1,0,1,2,2,31,-1.8940375224877926,0,1,0,4
4106025,1,0,0,3,2,48,-0.19403752248779255,0,1,0,4
4106032,1,0,0,3,2,30,-1.9940375224877926,0,0,1,5
4106062,1,0,1,3,2,57,0.7059624775122074,0,1,1,4
4106063,1,0,0,3,2,24,-2.5940375224877927,0,1,0,5
4106065,1,0,1,3,1,51,0.10596247751220744,0,1,1,4
4106071,1,0,1,3,1,54,0.40596247751220743,0,1,0,4
4106083,1,0,1,3,2,68,1.8059624775122074,1,0,0,4
4106094,1,0,0,3,1,60,1.0059624775122074,0,1,1,4
4106103,1,0,1,1,2,46,-0.39403752248779256,0,1,0,4
4106111,1,0,1,3,2,56,0.6059624775122074,0,1,0,3
4106112,1,1,1,1,2,34,-1.5940375224877925,1,1,0,5
4106113,1,0,0,1,2,74,2.4059624775122073,0,0,1,3
4204011,1,0,1,3,2,34,-1.5940375224877925,0,1,0,4
4204021,1,0,0,1,1,61,1.1059624775122074,0,1,1,4
4204023,1,0,1,3,2,51,0.10596247751220744,0,1,0,4
4204031,1,0,1,3,2,62,1.2059624775122075,0,0,1,4
4204063,1,0,1,3,2,47,-0.2940375224877926,0,1,0,4
4204081,1,0,0,1,2,53,0.30596247751220745,0,0,1,5
4204082,1,0,1,3,2,45,-0.49403752248779254,0,0,1,4
4204093,1,0,1,1,2,74,2.4059624775122073,0,0,1,4
4204103,1,0,0,1,1,59,0.9059624775122075,0,0,1,4
4204113,1,0,1,3,1,59,0.9059624775122075,0,1,1,4
4301022,1,0,0,1,2,42,-0.7940375224877926,0,1,0,4
4301023,1,0,1,1,2,32,-1.7940375224877925,0,0,1,5
4301061,1,0,1,2,1,54,0.40596247751220743,0,1,1,4
4301071,1,0,0,3,1,44,-0.5940375224877925,0,1,0,5
4301081,1,0,1,3,2,46,-0.39403752248779256,0,0,1,4
4301082,1,0,1,1,2,39,-1.0940375224877925,0,1,1,3
4301083,1,0,1,1,2,44,-0.5940375224877925,0,1,0,4
