"spec_modal","outcome","contrast_label","spec","est_prop","se_prop","p_prop","n_prop","sig_prop","est_modal","se_modal","p_modal","n_modal","sig_modal","delta","pct_delta","consistent"
"T4_M1","trust","α vs γ","Prop_M1",-0.0504362296447885,0.0168444608092614,0.00275136323414255,3891,"**",-0.0346460683427498,0.0175679603513613,0.0485962836997492,3891,"*",-0.0158,-45.6,TRUE
"T4_M1","trust","β vs γ","Prop_M1",-0.082108726295828,0.0167486130067074,9.46634321519905e-07,3891,"***",-0.0594747206953029,0.0180995021727525,0.00101625862517958,3891,"**",-0.0226,-38.1,TRUE
"T4_M2","trust","α vs γ","Prop_M2",-0.0485841630362238,0.0166712940801694,0.00356554923762332,3891,"**",-0.0326930102277799,0.0172056551063186,0.0574158420886985,3891,".",-0.0159,-48.6,TRUE
"T4_M2","trust","β vs γ","Prop_M2",-0.0782976991272439,0.016744070876989,2.92318308331706e-06,3891,"***",-0.056105796812298,0.0177730878003714,0.00159519536548247,3891,"**",-0.0222,-39.6,TRUE
"T4_M3","trust_nh","α vs γ","Prop_M3",-0.118820402924421,0.0277429647748213,1.84471326074795e-05,3891,"***",-0.0910229488433583,0.0326815002747625,0.00535026209600366,3891,"**",-0.0278,-30.5,TRUE
"T4_M3","trust_nh","β vs γ","Prop_M3",-0.0611714105976557,0.0292644640317355,0.0365911616601952,3891,"*",-0.0371089601058543,0.0348203778341685,0.286547805003632,3891,"  ",-0.0241,-64.8,TRUE
"T4_M4","trust_nh","α vs γ","Prop_M4",-0.106408570715847,0.0278451831030125,0.000132677126467894,3891,"***",-0.0800818837447396,0.0327064476780184,0.0143450645052387,3891,"*",-0.0263,-32.9,TRUE
"T4_M4","trust_nh","β vs γ","Prop_M4",-0.0447156116151351,0.0295711530245333,0.13049921178022,3891,"  ",-0.0218093434306075,0.0350599914124022,0.533903819040378,3891,"  ",-0.0229,-105,TRUE
"T5_M5","trust","α vs β","Prop_M5",0.0316724655577124,0.00779521674591353,4.84327159940384e-05,3891,"***",0.0248285159601982,0.00810077094459564,0.00217701173307487,3891,"**",0.0068,27.6,TRUE
"T5_M5","trust","γ vs β","Prop_M5",0.0821086115741185,0.0167486035824465,9.46654042482876e-07,3891,"***",0.0594741115233209,0.0180993260467564,0.00101626468985324,3891,"**",0.0226,38.1,TRUE
"T5_M6","trust","α vs β","Prop_M6",0.0297135595863344,0.00802478608520605,0.000213297775202033,3891,"***",0.0234127710593182,0.00819523904261534,0.00427834697392075,3891,"**",0.0063,26.9,TRUE
"T5_M6","trust","γ vs β","Prop_M6",0.0782977457690725,0.0167440690424864,2.92313609815458e-06,3891,"***",0.0561056890202136,0.0177729948762953,0.00159513825744608,3891,"**",0.0222,39.6,TRUE
"T5_M7","trust_nh","α vs β","Prop_M7",-0.0576487872432754,0.0193520193977755,0.00289233627774954,3891,"**",-0.0539141143401472,0.0237164324302727,0.0230092540269106,3891,"*",-0.0037,-6.9,TRUE
"T5_M7","trust_nh","γ vs β","Prop_M7",0.061171472275154,0.029264465697563,0.036590983135922,3891,"*",0.0371087279875189,0.0348203669078756,0.286550668099817,3891,"  ",0.0241,64.8,TRUE
"T5_M8","trust_nh","α vs β","Prop_M8",-0.0616934951755332,0.0194807051037573,0.00154071925605005,3891,"**",-0.0582726998428274,0.0238628171648838,0.0146066547201547,3891,"*",-0.0034,-5.9,TRUE
"T5_M8","trust_nh","γ vs β","Prop_M8",0.0447153415580892,0.0295711540987219,0.130501548546829,3891,"  ",0.0218092364393205,0.0350603045040134,0.533909478172436,3891,"  ",0.0229,105,TRUE
