"spec","outcome","ref_clase","with_controls","contrast","contrast_label","estimate","std.error","p.value","conf.low","conf.high","eff_n","sigma_u"
"Prop_M1","trust",2,FALSE,"1 - 2","β vs γ",-0.082108726295828,0.0167486130067074,9.46634321519905e-07,-0.114935404579973,-0.0492820480116825,3891,0.4788
"Prop_M1","trust",2,FALSE,"3 - 2","α vs γ",-0.0504362296447885,0.0168444608092614,0.00275136323414255,-0.0834507661699373,-0.0174216931196398,3891,0.4788
"Prop_M2","trust",2,TRUE,"1 - 2","β vs γ",-0.0782976991272439,0.016744070876989,2.92318308331706e-06,-0.111115475000728,-0.0454799232537595,3891,0.4484
"Prop_M2","trust",2,TRUE,"3 - 2","α vs γ",-0.0485841630362238,0.0166712940801694,0.00356554923762332,-0.0812592990090316,-0.0159090270634161,3891,0.4484
"Prop_M3","trust_nh",2,FALSE,"1 - 2","β vs γ",-0.0611714105976557,0.0292644640317355,0.0365911616601952,-0.118528706126725,-0.00381411506858628,3891,0.6074
"Prop_M3","trust_nh",2,FALSE,"3 - 2","α vs γ",-0.118820402924421,0.0277429647748213,1.84471326074795e-05,-0.173195614707434,-0.0644451911414075,3891,0.6074
"Prop_M4","trust_nh",2,TRUE,"1 - 2","β vs γ",-0.0447156116151351,0.0295711530245333,0.13049921178022,-0.102674006524543,0.0132427832942729,3891,0.6087
"Prop_M4","trust_nh",2,TRUE,"3 - 2","α vs γ",-0.106408570715847,0.0278451831030125,0.000132677126467894,-0.160984126740674,-0.0518330146910188,3891,0.6087
"Prop_M5","trust",1,FALSE,"2 - 1","γ vs β",0.0821086115741185,0.0167486035824465,9.46654042482876e-07,0.0492819517611849,0.114935271387052,3891,0.4788
"Prop_M5","trust",1,FALSE,"3 - 1","α vs β",0.0316724655577124,0.00779521674591353,4.84327159940384e-05,0.0163941214840384,0.0469508096313865,3891,0.4788
"Prop_M6","trust",1,TRUE,"2 - 1","γ vs β",0.0782977457690725,0.0167440690424864,2.92313609815458e-06,0.045479973491147,0.111115518046998,3891,0.4484
"Prop_M6","trust",1,TRUE,"3 - 1","α vs β",0.0297135595863344,0.00802478608520605,0.000213297775202033,0.0139852678756924,0.0454418512969764,3891,0.4484
"Prop_M7","trust_nh",1,FALSE,"2 - 1","γ vs β",0.061171472275154,0.029264465697563,0.036590983135922,0.00381417348112267,0.118528771069185,3891,0.6074
"Prop_M7","trust_nh",1,FALSE,"3 - 1","α vs β",-0.0576487872432754,0.0193520193977755,0.00289233627774954,-0.0955780482910359,-0.019719526195515,3891,0.6074
"Prop_M8","trust_nh",1,TRUE,"2 - 1","γ vs β",0.0447153415580892,0.0295711540987219,0.130501548546829,-0.0132430554566897,0.102673738572868,3891,0.6087
"Prop_M8","trust_nh",1,TRUE,"3 - 1","α vs β",-0.0616934951755332,0.0194807051037573,0.00154071925605005,-0.0998749755723432,-0.0235120147787233,3891,0.6087
